index,Name,Bias Rating,Country,Website,Youtube Channel,Twitter Handle,Twitter Similarity
0,Accountable.US,left,USA,https://www.accountable.us/,,accountable_us,0.88
1,Act.TV (act.tv),left,USA,http://act.tv,actdottv,actdottv,0.5454545454545454
2,Aftonbladet,left,Sweden,https://www.aftonbladet.se,,aftonbladet,1.0
3,Al DIA,left,USA,https://aldianews.com,pontealdiatv,aldianews,1.0
4,Alliance for Justice (AFJ) (www.afj.org),left,USA,https://www.afj.org/,alliance4justice,afjustice,0.5
5,Alt News,left,India,https://www.altnews.in,AltNewsVIdeos,altnews,1.0
6,Alternet (www.alternet.org),left,USA,https://www.alternet.org/,,alternet,1.0
7,Amandla (aidc.org.za),left,South Africa,http://aidc.org.za/amandla-media/,UCmX0gITcFMtmDSah8-wCChw,aidc_rsa,0.6666666666666666
8,America Blog (americablog.com),left,USA,http://americablog.com/,,,
9,American Bridge 21st Century (americanbridgepac.org),left,USA,https://americanbridgepac.org/,AmericanBridgePAC,american_bridge,0.875
10,American Oversight,left,USA,https://www.americanoversight.org,,weareoversight,0.7096774193548387
11,Americans United for Separation of Church and State (www.au.org),left,USA,https://www.au.org/,,,
12,Angry White Men (angrywhitemen.org),left,USA,https://angrywhitemen.org,,,
13,Attack the System (attackthesystem.com),left,USA,https://attackthesystem.com/,,,
14,AutoStraddle (www.autostraddle.com),left,USA,https://www.autostraddle.com/,,autostraddle,1.0
15,Baltimore City Paper (www.citypaper.com),left,USA,https://www.baltimoresun.com/citypaper/,,,
16,Bay Area Reporter (www.ebar.com),left,USA,http://www.ebar.com/,UC_WSavcwZVE3ciFM8yCwkBw,,
17,Being Liberal (www.themaven.net),left,USA,https://beingliberal.org/,,,
18,"BillMoyers.com (billmoyers.com)
",left,USA,https://billmoyers.com/,,billmoyers,1.0
19,Bitch Media (bitchmedia.org),left,USA,https://bitchmedia.org/,,bitchmedia,1.0
20,Black Agenda Report (blackagendareport.com),left,USA,https://blackagendareport.com/,,blkagendareport,0.9375
21,Black America Web (blackamericaweb.com),left,USA,https://blackamericaweb.com/,blackamericaweb,blackamericaweb,1.0
22,Black Lives Matter (blacklivesmatter.com),left,USA,https://blacklivesmatter.com,,,
23,Black Main Street (blackmainstreet.net),left,USA,https://blackmainstreet.net/,,bjsocialnetwork,0.3333333333333333
24,BoingBoing (boingboing.net),left,USA,https://boingboing.net,,boingboing,1.0
25,Boston Review (bostonreview.net),left,USA,http://bostonreview.net,,,
26,Brut.Media,left,France,https://www.brut.media/,BrutAmerica,brutamerica,0.5333333333333333
27,Bust Magazine (bust.com),left,USA,https://bust.com,,bust_magazine,0.4705882352941176
28,Call to Activism (calltoactivism.com),left,USA,https://www.calltoactivism.com/,,,
29,Canada Fact Check (canadafactcheck.ca),left,Canada,https://canadafactcheck.ca,,jegtheme,0.2608695652173913
30,Canadian Dimension (canadiandimension.com),left,Canada,https://canadiandimension.com/,UCXu7fg-_KdAoHY7bmahr9vg,cdn_dimension,0.7333333333333333
31,Capital & Main (capitalandmain.com),left,USA (44/180 Press Freedom),https://capitalandmain.com,UCjfpIrbyc1hMT-CRZWbGF4g,capitalandmain,1.0
32,Care2 (www.care2.com),left,USA,https://www.care2.com,,care2,1.0
33,Ceasefire Magazine (ceasefiremagazine.co.uk),left,United Kingdom,https://ceasefiremagazine.co.uk/,,ceasefiremag,0.8275862068965517
34,Center for American Progress (www.americanprogress.org),left,USA,https://www.americanprogress.org/,seeprogress,amprog,0.5454545454545454
35,Center for Media and Democracy (www.prwatch.org),left,USA,https://www.prwatch.org/,,exposedbycmd,0.2105263157894736
36,Center for a Stateless Society (c4ss.org),left,USA,https://c4ss.org/,c4ssvideos,c4ssdotorg,0.5714285714285714
37,Change.org (https://www.change.org/),left,USA,https://www.change.org/,,ukchange,0.8571428571428571
38,Chicago Reader (www.chicagoreader.com),left,USA,http://www.chicagoreader.com/,,chicago_reader,0.9629629629629628
39,Chicago Reporter (chicagoreporter.com),left,USA,https://www.chicagoreporter.com/,ChicagoReporter1972,chicagoreporter,1.0
40,China Internet Information Center (china.org.cn),left,China,http://www.china.org.cn/,,chinaorgcn,0.6666666666666666
41,Citizen Critics (citizencritics.org),left,USA,https://citizencritics.org,,,
42,Climate Home News (climatechangenews.com),left,United Kingdom,https://www.climatechangenews.com/,,climatehome,0.6428571428571429
